sample_old,tot,het,period_2,period_3,period_4,period_5,period_6
6594D,31370,21817,18206,3238,7475,2123,328
6605D,32525,22748,19152,3274,7595,2195,309
6669D,29948,20712,17091,3182,7317,2051,307
6670D,28496,19776,16033,3059,7120,1997,287
6673D,27645,19333,15490,2922,6942,1992,299
6678D,31131,21765,18060,3201,7454,2093,323
6684D,31648,22039,18679,3223,7396,2049,301
6686D,32095,22447,18904,3290,7467,2128,306
6687D,32261,22383,19058,3276,7527,2098,302
6688D,32033,22406,18913,3270,7432,2100,318
6689D,32094,22227,19035,3256,7378,2087,338
6690D,31719,21955,18794,3196,7324,2075,330
6691D,32109,22304,18951,3225,7516,2099,318
6692D,32403,22660,19274,3272,7421,2102,334
6693D,32364,22625,19060,3278,7525,2163,338
6694D,32530,22692,19114,3331,7574,2170,341
6695D,32638,22769,19156,3364,7675,2117,326
6696D,31891,22148,18671,3270,7503,2146,301
6697D,31734,22238,18597,3259,7495,2103,280
6698D,32355,22538,19076,3234,7593,2119,333
6699D,31713,22119,18598,3217,7464,2105,329
6700D,32198,22564,18934,3262,7558,2126,318
6701D,32462,22779,19019,3322,7638,2163,320
6706D,32290,22520,18946,3330,7541,2155,318
6707D,32260,22575,18942,3327,7538,2116,337
6708D,31176,21506,18378,3148,7336,2033,281
6709D,31886,22270,18722,3251,7471,2134,308
6710D,31313,21951,18322,3176,7421,2083,311
6712D,32257,22634,18907,3337,7484,2187,342
6713D,32257,22562,18897,3311,7606,2135,308
6714D,31805,22140,18663,3243,7470,2107,322
6716D,31865,22297,18651,3284,7536,2066,328
6717D,32332,22545,18948,3367,7555,2147,315
6718D,32548,22682,19085,3360,7577,2197,329
6719D,32262,22436,18956,3312,7546,2132,316
6720D,32312,22469,19075,3277,7517,2137,306
6721D,32528,22688,19158,3311,7588,2145,326
6722D,32524,22645,19133,3296,7605,2158,332
6723D,32360,22527,19093,3282,7506,2179,300
6724D,32760,22907,19149,3334,7717,2211,349
6725D,32367,22536,19078,3294,7499,2164,332
6726D,32627,22856,19084,3381,7640,2170,352
6727D,32545,22752,19195,3263,7585,2180,322
6728D,32546,22668,19162,3294,7617,2140,333
6729D,32504,22770,19122,3297,7586,2181,318
6730D,32452,22694,19123,3323,7540,2141,325
6731D,32365,22444,18988,3292,7594,2157,334
6732D,32574,22633,19127,3327,7669,2130,321
6733D,32553,22795,19124,3315,7623,2172,319
6734D,32639,22698,19242,3328,7575,2177,317
6735D,31620,22081,18557,3176,7492,2080,315
WGC086736,31933,22424,18916,3229,7432,2038,318
