STR	SNP_POS	SNP_ID	Trait	PValue	LD
chr18:273253	chr18:248481	rs59895994	vital capacity	7e-12	0.9525300506020594
chr18:273253	chr18:268992	rs9948087	triglyceride measurement	5e-08	0.9138045746470375
chr18:273253	chr18:279824	rs10432084	smoking status measurement	6e-09	0.7681568106688641
chr18:273253	chr18:280235	rs4632203	smoking status measurement	1e-08	0.7681568106688641
chr18:273253	chr18:280897	rs12456711	smoking behavior	4e-08	0.7611989949505187
chr18:783391	chr18:787846	rs9961091	mean arterial pressure	2e-16	0.762632673251503
chr18:6897896	chr18:6879354	rs2889535	risk-taking behaviour	5e-09	0.7754185610361569
chr18:9141216	chr18:9109486	rs4148965	heel bone mineral density	2e-10	0.7126308386264407
chr18:13148001	chr18:12945311	rs9951698	intelligence	2e-08	0.7010954293418149
chr18:13148001	chr18:12947463	rs3809912	intelligence	3e-08	0.8061100618769134
chr18:13148001	chr18:12947463	rs3809912	intelligence, self reported educational attainment	7e-09	0.8061100618769134
chr18:13148001	chr18:12947463	rs3809912	schizophrenia, intelligence, self reported educational attainment	1e-08	0.8061100618769134
chr18:13148001	chr18:12947463	rs3809912	cognitive function measurement	1e-09	0.8061100618769134
chr18:13148001	chr18:12991394	rs11663049	self reported educational attainment	8e-09	0.7839514515788121
chr18:13148001	chr18:13005474	rs8097125	self reported educational attainment	2e-09	0.8850962873003438
chr18:13148001	chr18:13076941	rs569453	self reported educational attainment	2e-10	0.8417481952808641
chr18:13148001	chr18:13104252	rs1787003	intelligence	4e-08	0.8788408947449341
chr18:13148001	chr18:13116433	rs1786263	body height	6e-22	0.8762088513168986
chr18:13158824	chr18:13005474	rs8097125	self reported educational attainment	2e-09	0.7292221777390837
chr18:13158824	chr18:13104252	rs1787003	intelligence	4e-08	0.7275952915346248
chr18:13158824	chr18:13116433	rs1786263	body height	6e-22	0.7243013323594976
chr18:21659672	chr18:21681452	rs11662721	phospholipid measurement	1e-08	0.7563395314364433
chr18:21677675	chr18:21681452	rs11662721	phospholipid measurement	1e-08	0.8864327154588335
chr18:22613511	chr18:22568568	rs7243351	forced expiratory volume	5e-08	0.8356114908330775
chr18:22613511	chr18:22643732	rs11661542	brain aneurysm	1e-12	0.8445471773127866
chr18:22613511	chr18:22654373	rs11082051	forced expiratory volume	4e-08	0.8444995306791775
chr18:22613511	chr18:22684222	rs11082082	vital capacity	1e-09	0.8199013177515287
chr18:22879767	chr18:22815141	rs4578769	eosinophil percentage of leukocytes	8e-09	0.7399260091897006
chr18:22879767	chr18:22884208	rs8085287	leukocyte count	3e-08	0.8039323648889773
chr18:22879767	chr18:22897971	rs12962334	breast carcinoma	4e-09	0.7138140223536986
chr18:23120909	chr18:23083870	rs4493170	BMI-adjusted waist circumference	8e-20	0.7832703275651645
chr18:23120909	chr18:23089396	rs8088319	body height	3e-08	0.7868826533836565
chr18:23120909	chr18:23127658	rs4310973	heel bone mineral density	2e-17	0.8341019916144188
chr18:23120909	chr18:23127658	rs4310973	vital capacity	6e-21	0.8341019916144188
chr18:23120909	chr18:23128357	rs9947743	forced expiratory volume	1e-12	0.8331315289995643
chr18:23120909	chr18:23128357	rs9947743	vital capacity	1e-10	0.8331315289995643
chr18:23309229	chr18:23305219	rs7238397	BMI-adjusted waist circumference	1e-18	0.8909010333767096
chr18:31499358	chr18:31508010	rs2212617	blood protein measurement	1e-08	0.7421104603544177
chr18:32289992	chr18:32304224	rs112394247	TNF-related apoptosis-inducing ligand measurement	1e-08	0.8294806984022737
chr18:33581473	chr18:33581462	rs10164193	diastolic blood pressure	2e-11	0.8347319273156616
chr18:34190074	chr18:34187721	rs12456222	chronotype measurement	9e-23	0.9605027225858442
chr18:35947318	chr18:36022250	rs28791905	mean corpuscular hemoglobin	1e-11	0.7627086232444663
chr18:35965088	chr18:36022250	rs28791905	mean corpuscular hemoglobin	1e-11	0.8305124460249166
chr18:36122651	chr18:36114157	rs1050631	survival time, squamous cell carcinoma, esophageal carcinoma	4e-08	0.9647753857171898
chr18:36147408	chr18:36114157	rs1050631	survival time, squamous cell carcinoma, esophageal carcinoma	4e-08	0.7091228770887197
chr18:37169137	chr18:37110781	rs10164099	waist-hip ratio	1e-09	0.7018412026454269
chr18:38167395	chr18:38182497	rs9950528	chronotype measurement	4e-09	0.7893170271616022
chr18:39671115	chr18:39602943	rs2852349	self reported educational attainment	4e-11	0.7639085341998392
chr18:39837517	chr18:39832264	rs12957463	self reported educational attainment	9e-17	0.7904173279974503
chr18:39837517	chr18:39836354	rs7233920	self reported educational attainment	2e-18	0.8878399934668314
chr18:39837517	chr18:39836354	rs7233920	mathematical ability	1e-16	0.8878399934668314
chr18:43110241	chr18:43093415	rs12456492	Parkinson's disease	4e-23	0.7390921794644627
chr18:43110241	chr18:43098270	rs4130047	Parkinson's disease	2e-10	0.7989303758975319
chr18:43110241	chr18:43111710	rs3861289	metastasis measurement, metastatic colorectal cancer, disease progression measurement	5e-08	0.8389599392006163
chr18:43189187	chr18:43180181	rs1518159	body mass index	2e-12	0.8717126167599492
chr18:43189187	chr18:43182011	rs7231852	body mass index	3e-08	0.8922765314775621
chr18:43189187	chr18:43182011	rs7231852	waist-hip ratio	2e-12	0.8922765314775621
chr18:44405933	chr18:44428132	rs12606620	pulse pressure measurement	2e-16	0.8321803600681372
chr18:44405933	chr18:44428132	rs12606620	systolic blood pressure	3e-12	0.8321803600681372
chr18:44405933	chr18:44491260	rs11082394	pulse pressure measurement	1e-19	0.7954011960604965
chr18:44405933	chr18:44491260	rs11082394	systolic blood pressure	2e-18	0.7954011960604965
chr18:44405933	chr18:44494557	rs7245273	systolic blood pressure	9e-12	0.8004687807185075
chr18:44405933	chr18:44514546	rs1877312	cardiovascular disease	5e-11	0.8237145368315905
chr18:44537378	chr18:44514546	rs1877312	cardiovascular disease	5e-11	0.7171987894962146
chr18:44849670	chr18:44860573	rs1276250	Alopecia	3e-08	0.8189746580364535
chr18:44849670	chr18:44860573	rs1276250	BMI-adjusted waist-hip ratio	2e-09	0.8189746580364535
chr18:44849670	chr18:44862174	rs684329	balding measurement	1e-15	0.8245232839892808
chr18:45591334	chr18:45590713	rs72906315	balding measurement	3e-10	0.978212395289442
chr18:46277412	chr18:46228682	rs6507691	mean corpuscular hemoglobin	3e-79	0.8664534721121453
chr18:46277412	chr18:46252149	rs62098160	leukocyte count	1e-15	0.8672440485019524
chr18:46277412	chr18:46269501	rs8093407	erythrocyte count	5e-25	0.8686559986318878
chr18:46948889	chr18:46933408	rs13381557	self reported educational attainment	7e-10	0.8431529760818106
chr18:49078391	chr18:49055989	rs16950303	body height	5e-16	0.8129046514725735
chr18:49078391	chr18:49130988	rs12458127	body height	1e-19	0.8911572011008256
chr18:49267896	chr18:49196492	rs74334864	BMI-adjusted waist-hip ratio	6e-11	0.8570139587640931
chr18:49267896	chr18:49358655	rs7242873	BMI-adjusted waist-hip ratio	2e-13	0.7960969237647683
chr18:49267896	chr18:49358655	rs7242873	waist-hip ratio	5e-08	0.7960969237647683
chr18:49454967	chr18:49358655	rs7242873	BMI-adjusted waist-hip ratio	2e-13	0.8678633904738058
chr18:49454967	chr18:49358655	rs7242873	waist-hip ratio	5e-08	0.8678633904738058
chr18:49587277	chr18:49621154	rs117687565	high density lipoprotein cholesterol measurement	1e-19	0.81436371162953
chr18:49587277	chr18:49621154	rs117687565	apolipoprotein A 1 measurement	7e-25	0.81436371162953
chr18:51219594	chr18:51157219	rs8087969	Parkinson's disease	1e-08	0.7905106634167126
chr18:51219594	chr18:51182178	rs8088085	atrial fibrillation	5e-08	0.9061381651906055
chr18:51219594	chr18:51212275	rs57976196	mathematical ability	3e-09	0.9664013249917851
chr18:51219594	chr18:51217272	rs16952939	self reported educational attainment	4e-10	0.9636488525941732
chr18:51219018	chr18:51182178	rs8088085	atrial fibrillation	5e-08	0.7443138349957328
chr18:51219018	chr18:51212275	rs57976196	mathematical ability	3e-09	0.797690060182875
chr18:51219018	chr18:51217272	rs16952939	self reported educational attainment	4e-10	0.8079187548963076
chr18:51219018	chr18:51217780	rs1941961	self reported educational attainment	1e-09	0.8013640073863595
chr18:54035391	chr18:54029897	rs12604643	body mass index	5e-08	0.9577169468521747
chr18:54301277	chr18:54290038	rs12965763	childhood onset asthma	4e-11	0.8749145578544677
chr18:54301277	chr18:54290038	rs12965763	asthma	1e-08	0.8749145578544677
chr18:54301277	chr18:54309883	rs115515961	childhood onset asthma	3e-08	0.8749381572790121
chr18:54710710	chr18:54724477	rs8089474	wellbeing measurement	4e-09	0.76951689002595
chr18:55243589	chr18:55239599	rs60565673	insomnia measurement	2e-12	0.7443326706747617
chr18:55292697	chr18:55253719	rs1261093	neuroticism measurement, wellbeing measurement, depressive symptom measurement	4e-09	0.8032401641205144
chr18:55622882	chr18:55627338	rs644279	mathematical ability	2e-08	0.9197413332985817
chr18:55622882	chr18:55629696	rs12457157	unipolar depression, mood disorder	4e-09	0.8636750022206231
chr18:55622882	chr18:55634296	rs6566169	heel bone mineral density	1e-10	0.8511968166715573
chr18:56548990	chr18:56569093	rs686781	balding measurement	7e-13	0.7353927962110368
chr18:58377739	chr18:58350291	rs17808190	mathematical ability	2e-22	0.7994345590201193
chr18:58377739	chr18:58352263	rs9675944	mathematical ability	3e-13	0.7939595248627377
chr18:58377739	chr18:58358018	rs4940386	mathematical ability	1e-18	0.8202195762496717
chr18:58377739	chr18:58364999	rs4940668	cognitive function measurement	2e-08	0.8210003180158052
chr18:58380073	chr18:58350291	rs17808190	mathematical ability	2e-22	0.7231662597885494
chr18:58380073	chr18:58352263	rs9675944	mathematical ability	3e-13	0.7175855561707452
